Name - original,Album,Audio,Cords,Instru,Language,Learn?,Link,Lyrics,Name - EN,Name - ZW,Singer,Status,Top
https://www.youtube.com/watch?v=84X56J6jJ4o,,,No,No,Taigi,No,,"彼一年 寒冷的冬天 寒流来的时 彼一暝
伊对梦中雄雄惊醒
靴管笼落去 袄仔幔落去
欲去海边巡鱼池
伊讲 伊的虱目鱼 拢无臭土味 真值钱
但是上惊这款天气
若是小可无注意 今年就免想过年
伊怨叹 客厅内 归暗看电视
月初嘟退伍的囝儿
叫伊斗阵去 伊嘛无愿意
因为粗重的头路伊无趣味
伊讲 无论虱目鱼 世界好滋味 有外甜
嘛是乎人嫌相多幼刺
青春少年时 就爱靠家己
惦庄脚所在赚袂着钱
伊才会 决定愈离开 决定飞上天 去城市
不管序大人按怎好嘴
伊欲赚鱼翅 无爱捡鱼刺
为着将来赚大钱 只要将来赚大钱
管汰伊 阿爸的虱目鱼
彼一年 彼场风台雨 淹过彼条路 彼下晡
伊向天公伯叹一口气
不听别人的阻止 铁马骑出去
欲去巡鱼池
伊讲 伊的虱目鱼 真用心来饲 当值钱
偏偏遇到这款天气
如今水拢加淹去 满街路四界拢是
伊怨叹 伊家己 为着虱目鱼
连后生拢赶赶出去
只剩一个人 行到水池边
面前的一切也已经拢无意义
伊讲 无论虱目鱼 世界好滋味 有外甜
嘛是需要顶面的支持
饲料彼呢贵 又搁歹景气
渔会的政策拢荒废
伊看见 水淹彼呢淀 四界拢嘛是
伊的鱼 亲像是开嘴咧叫伊
叫伊紧放弃 叫伊紧返去
伊讲伊有听见
伊讲伊有看见 彼暝的 梦中的虱目鱼
听讲 彼暗的电视
拢有报到伊 的名字
无人知最后伊流去叨位
新闻足讽刺 画面足趣味
有人惦马路块捞鱼
伊彼个 城市的后生
警察来通知彼当时
饮茫茫惦路边甲人相争
伊讲虱目鱼 其实拢无刺
人讲伊已经醉 伊讲伊无骗你
虱目鱼 原本是 伊的名字",,,蕭煌奇,,No
Singing in the rain,,,No,No,English,Yes,,"I'm singing in the rain, just singin' in the rain
What a glorious feeling, I'm happy again
I'm laughing at clouds so dark up above
The sun's in my heart and I'm ready for love
Let the stormy clouds chase everyone from the place
Come on with the rain, I've a smile on my face
I walk down the lane with a happy refrain
Just singin', singin' in the rain
Dancing in the rain, I'm happy again
I'm singin' and dancing in the rain x2",,,,,No
家後,,,No,No,Taigi,Yes,,"有一日咱若老 找無人甲咱友孝
我會陪你 坐惦椅寮 聽你講少年的時陣 你多緣投
吃好吃醜無計較 怨天怨地嘛袂曉
你的手 我會甲你牽條條 因為我是你的家後
阮將青春嫁置恁兜 阮對少年跟你跟甲老
人情世事已經看透透 有啥人比你卡重要
阮的一生獻乎恁兜 才知幸福是吵吵鬧鬧
等待返去的時陣若到 我會讓你先走
因為我會嘸甘 放你 為我目屎流
有一日咱若老 有媳婦子兒友孝
你若無聊 拿咱的相片 看卡早結婚的時陣 你外緣投
穿好穿醜無計較 怪東怪西嘛袂曉
你的心 我會永遠記條條 因為我是你的家後",,,,,No
Icowa ko lalan,Suming,Suming_%25E8%2588%2592%25E7%25B1%25B3%25E6%2581%25A9I_cowa_ko_lalan_%25E8%25B7%25AF%25E5%259C%25A8%25E5%2593%25AA%25E8%25A3%25A1%25E6%25BC%25A2%25E6%2596%2587%25E7%25A9%25BA%25E8%2580%25B3%25E6%25AD%258C%25E8%25A9%259E.mp3,No,No,Amis,Yes,https://www.youtube.com/watch?v=7tWS31tLvPM,"O kami kaemangay miliyas to niyaro’
Caay ka siwala kami to demak no niyaro‘ maemin.
Halafinto matayal awa ko nika laheci.
Ira ko papasifana to ka cipinangan ako.

Icowa ko lalan sakohalaten ako.
Icowa ko lalan nanay ira ko papasifana.

Ho i ya ho i ya ho wai ya na 
kitakapah saicelen.
Ho i ya ho i ya ha o wai ha yan 
naonen ko demak ato tireng.
Ho i ya ho i ya ho wai ya na 
aka lalaw ko pinangan.
Ho i ya ho i ya ha o wai ha yan 
mahmek ko finawlan tisowanan sowanan.

Ho i yan ho i ya o wai yan na ha wo wai ya yan ha wo wai yan
x3",,路在哪裡,Suming 舒米恩,In progress,No
Aka pisawad,,,No,No,Amis,Yes,,"Yatato'eman i, hakowa ko pitala isoAdada ko faloco, terep han hokiya mihai konini a dmakAno tala'ayaw, mafohat ko lalan a misi'ayawAno tala'ayaw, tatiih to, fancal to, sahto nga'ayayAka sawaden ko tilengO olip caay ka mi liyaw patatikolYatato'eman i, hakowa ko pitala isoAdada ko faloco, terep han hokiya mihai konini a dmakAno tala'ayaw, mafohat ko lalan a misi'ayawAno tala'ayaw, tatiih to, fancal to, sahto nga'ayayAka sawaden ko tilengO olip caay ka mi liyaw patatikolAno tala'ayaw, mafohat ko lalan a misi'ayawAno tala'ayaw, tatiih to, fancal to, sahto nga'ayayAka sawaden ko tilengO olip caay ka mi liyaw patatikolO olip caay ka mi liyaw patatikol",,不要放棄,Suming 舒米恩,In progress,No
Kasasetek no mita,Suming,Suming_%25E8%2588%2592%25E7%25B1%25B3%25E6%2581%25A9_Kasasetek_no_mita_%25E6%2588%2591%25E5%2580%2591%25E7%259A%2584%25E7%25B4%2584%25E5%25AE%259A_%25E6%25BC%25A2%25E6%2596%2587%25E7%25A9%25BA%25E8%2580%25B3%25E6%25AD%258C%25E8%25A9%259E.mp3,No,No,Amis,No,https://www.youtube.com/watch?v=-W-2EoTW0K0,"Yo c cay kako a romakat itila i lawac sa no liya , miclem to koya cidal
Idangaw ,o soni no tapelik hato ngiha iso mitapal mahalateng ngako kiso
Aka tawalan ko ya kasasetek no kasasowal nomita naonen ko tileng iso
Talaen kako tangasa i pinokayan nako a romiad , mala ccay to ko kita
a hoiyan ho iya o way i yanna iyeyan iyeyan
a hoiyan ho iya o way i yanna iyeyan iyeyan
Aka tawalan ko ya kasasetek no kasasowal nomita naonen ko tileng iso
Talaen kako tangasa i pinokayan nako a romiad, mala ccay to ko kita
a hoiyan ho iya o way i yanna iyeyan iyeyan
a hoiyan ho iya o way i yanna iyeyan iyeyan
ho~ ihya oh~ hiya woo~
a hoiyan ho iya o way i yanna iyeyan iyeyan x7",,我們的約定,Suming 舒米恩,In progress,No
Mamalakowit,,Mamalakowit_%25E9%2583%25BD%25E5%25B0%2587%25E9%2581%258E%25E5%258E%25BB.mp3,No,No,Amis,No,https://www.youtube.com/watch?v=dvMr76t95Rg&list=OLAK5uy_mW1M4U8PGbgIZ5WbiQd7ufZesKDSbgkrE&index=10,"A~ pasiwali kako
Minengneng to riyal
Sapatere sa ko halateng ako
A~ ma'araw ako
Makapahay hana
Mahalateng kalacafay ita
Akaka to kararom
Akaka 'isang
Mamalakowit konini a maemin.
Salimelaen ita
Kona romi'ad
Mamalakowit konini maemin",,都將過去,Suming 舒米恩,,No
阿米斯,Amis 阿米斯,,No,No,Amis,No,https://www.youtube.com/watch?v=5pam-KLnqHU,"O Amis hananay a tamdaw
Sahtoay o komeceday
O ci 'icelay ko tatirengan
O komaenay to tatokem ato sama'
awaay ko sasowalen to Amis
aka tawalen no mita ko liteng liteng
o mipahafayay to 'orip no mita",Amis,阿米斯,Suming 舒米恩,,No
約翰淑敏,Amis 阿米斯,,No,No,Amis,No,https://www.youtube.com/watch?v=iHo5171qXTo,"Aka walinay ko atol no niyam
Naonen, adihay ko fakloh i tini
Keliden nako kiso mitaliyok
Kako koya ci john suming hananay
Wuwa radiw kita Wuwa keru kita Wuwa lawla kita Malaccay maemin kita
Wuwa radiw kita Wuwa keru kita Wuwa～
Na i cowaay kiso a taini
Wuwayaw～, kafahalan maaraw kiso
Makapahay ko niyaro'no niyam
Nanay, malemed ko ka taini iso
Wuwa radiw kita Wuwa keru kita Wuwa lawla kita
Malaccay maemin kita
Wuwa radiw kita Wuwa keru kita Wuwa～
Wu wa wu wa hay yan Ho wu wa hay yan
Ho a yi yan ho o hay yo in ho i yan
Wu wa wu wa hay yan Ho wu wa hay yan
Ho a yi yan ho o hay yo in ho i yan",John Suming,約翰淑敏,Suming 舒米恩,,No
賽德克女孩,Amis 阿米斯,,No,No,Amis,No,https://www.youtube.com/watch?v=nLT7pJPeym4,"Ina ama aw, ina ama aw,
Maolahay kako to wawa no ta'o.
Aka pilalang, aka pisimsim,
Palemeden kako, paicelen kako.
Salikaka aw, Salikaka aw,
Maolahay kako to wawa no ta'o.
Aka kacekok, aka kafahal,
Palemeden kako, paicelen kako.
Iraw, tengilen ko radiw ila, O kasapaan a fafahiyan.
Maolahay kako cinraan, Ina ama aw (Salikaka aw)
Li mui so la li mui yo Li mui so la li mui yo
Li mui so la li mui yo Li mui so la li mui yo",,賽德克女孩,Suming 舒米恩,,No
遠洋,Amis 阿米斯,,No,No,Amis,No,https://www.youtube.com/watch?v=4ILd-sxWxMg,"a ha i yan na ha i ye hay ya o ha i yan
Ha i yo o wan ha i yan na i yo i ye
Yo kaemangho kako i Mangalay saka lah
Minanay to saka tayalaw
Yo lomahad to kako i Mitilid to i kongkoan
Misaicel saka ci taneng
Yo malahitay to kako i Misetek faloco ako
Sapikalicaw to tamina
Yo matayal i tamina Liyasen to ko niyaro'
Tayla maraayay mifoting
O a ha i yan na ha i ye O ay ya o ha i ye i yan
Ha i yo o wan ha i yan na i yo i ye
Malolay i pafotingngan Maedeng a samaanen
Sakalomahad nikamaro'
O a ha i yan na ha i ye O ay ya o ha i ye i yan
Ha i yo o wan ha i yan na i yo i ye",,遠洋,Suming 舒米恩,,No
Fali,Amis 阿米斯,,No,No,Amis,No,https://www.youtube.com/watch?v=EYi6L7JvmgU,"O fali paluwaday to tapelik O fali mifiyokay to tahefod
O fali miiyofay to kalokilang O fali, O fali~
O fali ngaay sapafali to panay O fali ngaay sapi icang to riko`
O fali sakasaemel no lomia`d O fali, O fali~
He ya hay ya i ya ho i yo yan He yan ha he yan
Ho o han hay ya i ya ho i yo yan He yan ha he yan
He ya i yo yan he ya i yo yan He yan ha he yan
Ho o han hay ya i ya ho i yo yan He yan ha he yan",Wind,風,Suming 舒米恩,,No
https://www.youtube.com/watch?v=DkU4W9MKRVw,Amis 阿米斯,,No,No,Amis,No,https://www.youtube.com/watch?v=z7ElEmIYww4,"I fahal maa'law kisowanan
Salipahak sa ko faloco'
Kahemekan malacafay kita
Mihonanay kako, caayto ka laliyas kita toromia'mia'd
O pisin iso hato ya hanaay
O tawa iso hato ya cidalay
Kahemekan malacafay kita
Sanay ko halateng ako
Maolahay kako tisowanan",I love you,我愛你,,,No
Mahalateng,Suming,Suming_%25E8%2588%2592%25E7%25B1%25B3%25E6%2581%25A9_Mahalateng_%25E6%2588%2591%25E5%25BF%2583%25E6%2589%2580%25E5%25B1%25AC_%25E6%25BC%25A2%25E6%2596%2587%25E7%25A9%25BA%25E8%2580%25B3%25E6%25AD%258C%25E8%25A9%259E.mp3,No,No,Amis,No,https://www.youtube.com/watch?v=hpMZP9tt6Q4,"Palo no kapang ako adihay mihawikidan na i luma.
Mahalateng adihay ko kahemeken a dmak i keamang ho.
Neng han ko cidal, oyanan to cay ka falic.
Hapinang han ako, oyanan to kako.
Makesem kako i, mahalateng ako ko kiso.
O luma, o omah, o liyal, o kaput, o mamu
Mahmek kako i, mahalateng ako ko kiso.
Palo no kapang ako adihay mihawikidan na i luma.
Mahalateng adihay ko kahemeken a dmak i keamang ho.
Neng han ko cidal, oyanan to cay ka falic.
Hapinang han ako, oyanan to kako.
Makesem kako i, mahalateng ako ko kiso.
O luma, o omah, o liyal, o kaput, o mamu
Mahmek kako i, mahalateng ako ko kiso.
O ina, o ama, o dateng, o hana, o lutok, o tukus, o lalan
Mahmek kako i,
mahalateng ako ko kiso.
ko kiso~ko kiso~",,我心所屬,Suming 舒米恩,,No
Kayoing,Suming,,No,No,Amis,No,https://www.youtube.com/watch?v=orSJMt7fUgk,,,美少女,Suming 舒米恩,,No
Kapah,Suming,,No,No,Amis,No,https://www.youtube.com/watch?v=kX6RWEoaR3M,,,年輕人,Suming 舒米恩,,No
Tonfor,,,No,No,Amis,No,https://www.youtube.com/watch?v=zVQrB_AqZX0,"tatoyhan ako koya tangfur ni ina, tayla i posong kako.
mahoni ko tangfur a romakat, ko tangfur tang~
makapahay ko romiad anini, malokelon nanitokos.
romadiw tono amis a radiw, koradiw tang~
maaraw ako ko sama' ato tatokem,
dateng hananay no mako.
alaen sapatelong kisowanan, kodateng tang~
ano maosoy kako a tahila, hay ya talaen haw.
maanen adihayay ko mialaen, a dateng tang~

wo a i yan, a i yan na ha wo way yo ha i yan, wo wa i yan na
hi ya o ha i yan, wo a i yan
wo wan na o ha i yan
hi ya o ha i yan
wo a i yan, a i yan na ha wo way yo ha i yan, wo wa i yan na
hi ya o ha i yan, wo a i yan
hi ya o ha i yan
hi ya o ha i yan
wo a i yan, a i yan na ha wo way yo ha i yan, wo wa i yan na
hi ya o ha i yan, wo a i yan
wo wan na o ha i yan
hi ya o ha i yan",,鈴鐺,Suming 舒米恩,,No
潤少專屬,,%25E6%25BD%25A4%25E5%25B0%2591%25E6%25BD%25A4%25E5%25B0%2591%25E5%25B0%2588%25E5%25B1%25ACOfficial_Music_Video.mp3,No,No,Taigi,No,https://www.youtube.com/watch?v=xnEhT-B6RoI,"（DJ小庭）
（如果你感到很High）
（把你的手舉起來）
如果你感到很High
把你的手舉起來
FIRE
不過吃個飯 哈尼你穿這麼少干會看
（早安潤少哥 今天穿這樣干會使）
我點頭 我尚愛 走路屁股還會晃
要求很少說不要 說不要那就算了
這是我的南部Club姐妹一起搖落搖落搖
要找我的蛇 所以在我身上摸呀摸
這邊摸呀摸呀摸啊那邊摸呀摸呀摸
去年讓你摸是我賺到 今年怎麼算都不合
較暗就再換一個 見面看有沒有速配
你娘把你生的這麼水就別在那結一塊
這個不錯 我 留起來 明天再擱來
這個太醜 喔拍謝 我家瓦斯沒關
昨晚都說的山盟海誓天亮就說昨晚拍謝拍謝
（哼 不用在那邊 早就知道你的壞）
（落搖）
我的南部Club姐妹一起搖落搖落搖
（這邊蛇勒蛇勒蛇 啊那邊蛇勒蛇勒蛇）
我的南部Club姐妹一起搖落搖落搖
（這邊蛇勒蛇勒蛇 啊那邊蛇勒蛇勒蛇）
DJ小庭
我從鄉下來 還不太會去看臉色
人家若說什麼要搞什麼事 常常我衝第一
老母每天都怕我去學壞
好的不學 壞的學很快
愛說謊話 騙說我會改
改到現在 永康我最壞
Oh ya
里長放送 里長放送 今天誰要跟我吃飯
跟我吃飯 算你好運 看要珍奶還是要臭豆腐
你邊吃臭豆腐邊讓我吃豆腐
吃完再看要去哪舞 當里長的感覺太有
晚點就再換一個 見面看有沒有速配
你娘把你生的這麼水就別在那結一塊
這個不錯 我 留起來 明天再來
這個太醜 喔拍謝 我家瓦斯沒關
昨晚都說的山盟海誓天亮就說昨晚拍謝拍謝
（哼 不用在那邊 早就知道你壞壞）
我的南部Club姐妹一起搖落搖落搖
（這邊蛇勒蛇勒蛇 啊那邊蛇勒蛇勒蛇）
我的南部Club姐妹一起搖落搖落搖
（這邊蛇勒蛇勒蛇 啊那邊蛇勒蛇勒蛇）
我的南部Club姐妹一起搖落搖落搖
（這邊蛇勒蛇勒蛇 啊那邊蛇勒蛇勒蛇）
我的南部Club姐妹一起搖落搖落搖
我的南部Club 直 直直衝
我的南部Club 直 直直衝",,,潤少,,No
回到原點,,,No,No,Mandarin,Yes,,"老人家問我 問我要不要回家
你為什麼離天空越來越遠
和時間拚命也是一天 閉上眼睛也是一天
得過且過的有什麼不對
搞不定的先算了吧 那些不是我的機會
要是讓我再少個十歲 做夢容易一些

夜 越來越黑 霓虹比星空還刺眼
是不是 一點一點忘記我是誰 yo~oh~
累 越想越累 天亮之前再睡一會
醒來後 一天一天把昨天銷毀 yo~oh~
人總是現實裡滾了一圈 又回到原點
（嗚哇哇~又回到原點 yo~oh~）x2

我也問自己 到底要不要回家
回家鄉生活 追錯過的改變
放下手機讓它沒電 大力呼吸海的氣味
這樣很reggae你說對不對
我想那就先這樣吧 不是一定要很賺錢
反正等我再老個十歲誰記得我是誰

*

沒冷氣不能活的夏天 計程車追不上的時間
也許 未來會有一天也會是我想念的 畫面

*",,,Matzka,In progress,No
*senai,Amis 阿米斯,,No,No,Amis,Yes,https://www.youtube.com/watch?v=lRc10A2qrxY&list=PL1vqthnP9_mE5C1I07IlQg7CJ8zMsg2gu,"Senay senay sa ko losa’
O losa’ iso haw kaka
Yo naikor nahan no miso i takowanan
Hay ya haraten iso kaka
*
Senay senay sa ku losa’
O losa’ iso haw kaka
Yo naikor nahan no miso i takowanan
Hay ya haraten iso kaka",,思念,,,No
海洋,,,No,No,Mandarin,No,https://www.youtube.com/watch?v=YQ3rLf6raCc,"選擇在晴空萬里的這一天
我背著釣竿獨自走到了東海岸
徜徉在海邊享受大自然的清新
忘卻所有的煩憂心情放得好輕鬆

雲兒在天上飄
鳥兒在空中飛
魚兒在水裡游

依偎在碧海藍天
悠遊自在的我
好滿足此刻的擁有

啊嗚　喔　海洋啊嗚　喔　海洋海洋",,,陳建年 Paudull,,No
Après un rêve (Fauré),,,No,No,Français,No,,"Dans un sommeil que charmait ton image
Je rêvais le bonheur, ardent mirage
Tes yeux étaient plus doux, ta voix pure et sonore
Tu rayonnais comme un ciel éclairé par l'aurore;
Tu m'appelais et je quittais la terre
Pour m'enfuir avec toi vers la lumière
Les cieux pour nous entr'ouvraient leurs nues
Splendeurs inconnues, lueurs divines entre vues
Hélas! Hélas, triste réveil des songes
Je t'appelle, ô nuit, rends moi tes mensonges
Reviens, reviens radieuse
Reviens, ô nuit mystérieuse!",,,,,No
88bars,,,No,No,Mandarin,Yes,,"I’m never the same
還是一直變
yeah I changed the game 華語嘻哈圈
Ever since 無限
小雨來的不是時候
還是多愁善感 bout下雨天
但我爺爺小時候就教我 大頭大頭下雨不愁 now I just make it rain
Flowing like 安卓三千 來自下個千禧年
ATLien 先馳得點的先知
I see the future like Mary with my 千里眼
天之驕子的天資
再加上堅持到底的偏執
外加上顏值 到底老天是否太明顯的偏心
one in a billion

maybe沒有話語霸權
林北有BAR的霸權
意思是either u love me or hate me when I drop them BARS
你逼不得已 gotta listen （facts！）
whats poppin I’m hopping on pop charts
把餅畫大 圈粉帶回嘻哈圈
剛唱完小巨蛋同一晚find me at 公館水管音樂moshing
Bitch why u sobbing
在那邊抱怨 說我太主流了 好了啦
我隨便一個主流跨刀 都能讓你主打歌命喪我刀下
說我太商業 不夠underground
cus I’m on top man
堅持不降價錢
天天過年 每場當做在唱跨年
（早跟你說過了！）

火大了 sending shots like 喝乾啦
Flow hotter than哪吒的
Got a whole lotta gold locked up in my vault
gotta go harder than my role model 羅大佑
Roll another 大的 yo
嗨大了
我普攻
你就以為開大了
絕世武功
該害怕了
像有開掛的
Jedi Knight Sky walker
My god
叫我嗆金曲評審 太瞎了
您別挨罵了
Why bother
U already know know I’m higher brother
My 思維 is out of control
Out of this world さようなら
This that 奧林匹亞等級高速運作
奧林匹克等級高級動作

花式比劃 honey 哩跨隆沒
大師級畫作 灑脫潑墨
傻了你懷疑我拍子跑拍
像跟莎士比亞說你文法用錯

你分不清我的真假動作
就像我分不清我的真假朋友
被我當眾戳破他說「真假？」
bro你反應真假 你所謂的真 假得真假

不經一事 不長一智
但不好意思 我還是不可一世
不合時宜 什麼意思
這首沒有跟你要有副歌的意思
不讓你附和的意思
整個超過你能夠負荷的意思
i’m too good的意思
KTV只能開原唱 看我獨秀的意思

我一枝獨秀 又一直突破
一絲不苟 flow 一滴不漏
氣勢如虹 got them bitches all shook
No hook shit got them bitches all hooked

No new friends me & rgry
沆瀣一氣
Going stupid aw silly me
Flow too sick 絡繹不絕 需要隔離衣
lil loser on that PTT talking bullshit 我芙蓉出水
當眾處決 遇到true MC 嚇到補血 需要康乃馨
na mean
叫我
Bully的bully我 不理解為何有這麼多的
pussy網路裡面 自以為自己有多了不起
Usually注意力不值得處理你但我有天
看著那些初級班的 菜雞在那互啄
看了一個下午feelin like a 公園裡的阿伯
Kind of funny how u 為了你的五斗米能
匯到你的戶頭裡能跪的像個扶不起的阿斗
太多饒舌歌手 連八個八都落的七零八落
killem all
扳機一口 殺了八十八個BAR u can call this殺雞儆猴
（88BARS baby take them way back to the basics
I’m back from my hiatus)",88bars,88bars,Kumachan,In progress,No
蜜汁沼澤,,,No,No,,Yes,,"摸著妳的腰
我從後面動
解開妳的內衣
畫面變成慢動作
而我只想make you right now
親吻妳的耳朵
隔著內褲看妳濕了
準備進入蜜汁沼澤 wow
I can play that shit all day
愛也可以像是game
開著Jimny on my way
No play no love no game
I can play that shit all day
愛也可以像是game
開著Jimny on my way
No play no love no game
摸著妳的腰
我從後面動
邊抽邊做
Getting stone
放進去噴火
妳像是燈籠
sucking me
瘋狂的點頭
Hey
想要被我調戲
Bitch 我知道妳喜歡
我看得出來
想要 我抓你的屁股
Grab your ass
看我用力的角度
Mother Fuck
Getting higher
變成了慢動作 遲緩
在我耳邊慢慢 癡喘
如魚得水魚水 之歡
腿都軟的走不動了
像是掉進蜜汁沼澤
Purple Peace Pussy
我收著 Bitch
摸著妳的腰
我從後面動
解開妳的內衣
畫面變成慢動作
而我只想make you right now
親吻妳的耳朵
隔著內褲看妳濕了
準備進入蜜汁沼澤 wow
I can play that shit all day
愛也可以像是game
開著Jimny on my way
No play no love no game
I can play that shit all day
愛也可以像是game
開著Jimny on my way
No play no love no game
Hell yeah
Let the beast out
吃掉蜜桃
Umm no doubt she′s a booty tank
Yeah girl
玩得力道
弄到軟腳
幫妳洗澡
抓痕 超明顯
我發現
我的背上多了
五條線
Hold不住了請妳
不要舔
要吃過的才懂
葡萄甜
Woo God damn
脫掉褲子
妳就知道我的專長
Yeah babe
讓我攻破妳的磚牆
You and me
絕對會是不同凡響
磚牆融化了
真的甜得像有沾糖
Hum
You're a bad girl
我想幫你上銬
妳太辣
很難不被嗆到
Freakin hot girl
很難不被燙到
關上門
Bang Bang Bang Bow Bow
摸著妳的腰
我從後面動
解開妳的內衣
畫面變成慢動作
而我只想make you right now
親吻妳的耳朵
隔著內褲看妳濕了
準備進入蜜汁沼澤 wow
I can play that shit all day
愛也可以像是game
開著Jimny on my way
No play no love no game
I can play that shit all day
愛也可以像是game
開著Jimny on my way
No play no love no game
妳像是一個
存在我內心裡的魁儡
不像是過客
停下腳步刺激我味蕾
I said
Maybe這就是妳所謂的Trap play
躲都躲不掉的氛圍
慢慢陷進蜜汁沼澤裡
I can play
You know me
犯的罪
先忘記
You can show
Your crazy to me
就看著妳姿態的變動
黑夜都快變成白晝
限時都塞滿了Photo
訊息都回傳了Damn Girl
I text no no
I′m playing now
Go Go
Just make it bounce
內心的野獸
表情就搓破
I can play that shit all day
愛也可以像是game
開著Jimny on my way
No play no love no game
I can play that shit all day
愛也可以像是game
開著Jimny on my way
No play no love no game",/,蜜汁沼澤,G22,Not Started,No
